----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1           [-1, 64, 32, 32]           1,728
       BatchNorm2d-2           [-1, 64, 32, 32]             128
              ReLU-3           [-1, 64, 32, 32]               0
         MaxPool2d-4           [-1, 64, 16, 16]               0
       BatchNorm2d-5           [-1, 64, 16, 16]             128
              ReLU-6           [-1, 64, 16, 16]               0
            Conv2d-7          [-1, 128, 16, 16]           8,192
       BatchNorm2d-8          [-1, 128, 16, 16]             256
              ReLU-9          [-1, 128, 16, 16]               0
           Conv2d-10           [-1, 32, 16, 16]          36,864
      BatchNorm2d-11           [-1, 96, 16, 16]             192
             ReLU-12           [-1, 96, 16, 16]               0
           Conv2d-13          [-1, 128, 16, 16]          12,288
      BatchNorm2d-14          [-1, 128, 16, 16]             256
             ReLU-15          [-1, 128, 16, 16]               0
           Conv2d-16           [-1, 32, 16, 16]          36,864
      BatchNorm2d-17          [-1, 128, 16, 16]             256
             ReLU-18          [-1, 128, 16, 16]               0
           Conv2d-19          [-1, 128, 16, 16]          16,384
      BatchNorm2d-20          [-1, 128, 16, 16]             256
             ReLU-21          [-1, 128, 16, 16]               0
           Conv2d-22           [-1, 32, 16, 16]          36,864
      BatchNorm2d-23          [-1, 160, 16, 16]             320
             ReLU-24          [-1, 160, 16, 16]               0
           Conv2d-25          [-1, 128, 16, 16]          20,480
      BatchNorm2d-26          [-1, 128, 16, 16]             256
             ReLU-27          [-1, 128, 16, 16]               0
           Conv2d-28           [-1, 32, 16, 16]          36,864
      BatchNorm2d-29          [-1, 192, 16, 16]             384
             ReLU-30          [-1, 192, 16, 16]               0
           Conv2d-31          [-1, 128, 16, 16]          24,576
      BatchNorm2d-32          [-1, 128, 16, 16]             256
             ReLU-33          [-1, 128, 16, 16]               0
           Conv2d-34           [-1, 32, 16, 16]          36,864
      BatchNorm2d-35          [-1, 224, 16, 16]             448
             ReLU-36          [-1, 224, 16, 16]               0
           Conv2d-37          [-1, 128, 16, 16]          28,672
      BatchNorm2d-38          [-1, 128, 16, 16]             256
             ReLU-39          [-1, 128, 16, 16]               0
           Conv2d-40           [-1, 32, 16, 16]          36,864
      BatchNorm2d-41          [-1, 256, 16, 16]             512
             ReLU-42          [-1, 256, 16, 16]               0
           Conv2d-43          [-1, 128, 16, 16]          32,768
