----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1          [-1, 192, 32, 32]           5,184
       BatchNorm2d-2          [-1, 192, 32, 32]             384
       BasicConv2d-3          [-1, 192, 32, 32]               0
            Conv2d-4           [-1, 64, 32, 32]          12,288
       BatchNorm2d-5           [-1, 64, 32, 32]             128
       BasicConv2d-6           [-1, 64, 32, 32]               0
            Conv2d-7           [-1, 48, 32, 32]           9,216
       BatchNorm2d-8           [-1, 48, 32, 32]              96
       BasicConv2d-9           [-1, 48, 32, 32]               0
           Conv2d-10           [-1, 64, 32, 32]          76,800
      BatchNorm2d-11           [-1, 64, 32, 32]             128
      BasicConv2d-12           [-1, 64, 32, 32]               0
           Conv2d-13           [-1, 64, 32, 32]          12,288
      BatchNorm2d-14           [-1, 64, 32, 32]             128
      BasicConv2d-15           [-1, 64, 32, 32]               0
           Conv2d-16           [-1, 96, 32, 32]          55,296
      BatchNorm2d-17           [-1, 96, 32, 32]             192
      BasicConv2d-18           [-1, 96, 32, 32]               0
           Conv2d-19           [-1, 96, 32, 32]          82,944
      BatchNorm2d-20           [-1, 96, 32, 32]             192
      BasicConv2d-21           [-1, 96, 32, 32]               0
           Conv2d-22           [-1, 32, 32, 32]           6,144
      BatchNorm2d-23           [-1, 32, 32, 32]              64
      BasicConv2d-24           [-1, 32, 32, 32]               0
       InceptionA-25          [-1, 256, 32, 32]               0
           Conv2d-26           [-1, 64, 32, 32]          16,384
      BatchNorm2d-27           [-1, 64, 32, 32]             128
      BasicConv2d-28           [-1, 64, 32, 32]               0
           Conv2d-29           [-1, 48, 32, 32]          12,288
      BatchNorm2d-30           [-1, 48, 32, 32]              96
      BasicConv2d-31           [-1, 48, 32, 32]               0
           Conv2d-32           [-1, 64, 32, 32]          76,800
      BatchNorm2d-33           [-1, 64, 32, 32]             128
      BasicConv2d-34           [-1, 64, 32, 32]               0
           Conv2d-35           [-1, 64, 32, 32]          16,384
      BatchNorm2d-36           [-1, 64, 32, 32]             128
      BasicConv2d-37           [-1, 64, 32, 32]               0
           Conv2d-38           [-1, 96, 32, 32]          55,296
      BatchNorm2d-39           [-1, 96, 32, 32]             192
      BasicConv2d-40           [-1, 96, 32, 32]               0
           Conv2d-41           [-1, 96, 32, 32]          82,944
      BatchNorm2d-42           [-1, 96, 32, 32]             192
      BasicConv2d-43           [-1, 96, 32, 32]               0
           Conv2d-44           [-1, 64, 32, 32]          16,384
      BatchNorm2d-45           [-1, 64, 32, 32]             128
      BasicConv2d-46           [-1, 64, 32, 32]               0
       InceptionA-47          [-1, 288, 32, 32]               0
           Conv2d-48           [-1, 64, 32, 32]          18,432
      BatchNorm2d-49           [-1, 64, 32, 32]             128
      BasicConv2d-50           [-1, 64, 32, 32]               0
           Conv2d-51           [-1, 48, 32, 32]          13,824
      BatchNorm2d-52           [-1, 48, 32, 32]              96
      BasicConv2d-53           [-1, 48, 32, 32]               0
           Conv2d-54           [-1, 64, 32, 32]          76,800
      BatchNorm2d-55           [-1, 64, 32, 32]             128
      BasicConv2d-56           [-1, 64, 32, 32]               0
           Conv2d-57           [-1, 64, 32, 32]          18,432
      BatchNorm2d-58           [-1, 64, 32, 32]             128
      BasicConv2d-59           [-1, 64, 32, 32]               0
           Conv2d-60           [-1, 96, 32, 32]          55,296
      BatchNorm2d-61           [-1, 96, 32, 32]             192
      BasicConv2d-62           [-1, 96, 32, 32]               0
           Conv2d-63           [-1, 96, 32, 32]          82,944
      BatchNorm2d-64           [-1, 96, 32, 32]             192
      BasicConv2d-65           [-1, 96, 32, 32]               0
           Conv2d-66           [-1, 64, 32, 32]          18,432
      BatchNorm2d-67           [-1, 64, 32, 32]             128
      BasicConv2d-68           [-1, 64, 32, 32]               0
       InceptionA-69          [-1, 288, 32, 32]               0
           Conv2d-70          [-1, 384, 15, 15]         995,328
      BatchNorm2d-71          [-1, 384, 15, 15]             768
      BasicConv2d-72          [-1, 384, 15, 15]               0
           Conv2d-73           [-1, 64, 32, 32]          18,432
      BatchNorm2d-74           [-1, 64, 32, 32]             128
      BasicConv2d-75           [-1, 64, 32, 32]               0
           Conv2d-76           [-1, 96, 32, 32]          55,296
      BatchNorm2d-77           [-1, 96, 32, 32]             192
      BasicConv2d-78           [-1, 96, 32, 32]               0
           Conv2d-79           [-1, 96, 15, 15]          82,944
      BatchNorm2d-80           [-1, 96, 15, 15]             192
      BasicConv2d-81           [-1, 96, 15, 15]               0
       InceptionB-82          [-1, 768, 15, 15]               0
           Conv2d-83          [-1, 192, 15, 15]         147,456
      BatchNorm2d-84          [-1, 192, 15, 15]             384
      BasicConv2d-85          [-1, 192, 15, 15]               0
           Conv2d-86          [-1, 128, 15, 15]          98,304
      BatchNorm2d-87          [-1, 128, 15, 15]             256
      BasicConv2d-88          [-1, 128, 15, 15]               0
           Conv2d-89          [-1, 128, 15, 15]         114,688
      BatchNorm2d-90          [-1, 128, 15, 15]             256
      BasicConv2d-91          [-1, 128, 15, 15]               0
           Conv2d-92          [-1, 192, 15, 15]         172,032
      BatchNorm2d-93          [-1, 192, 15, 15]             384
      BasicConv2d-94          [-1, 192, 15, 15]               0
           Conv2d-95          [-1, 128, 15, 15]          98,304
      BatchNorm2d-96          [-1, 128, 15, 15]             256
      BasicConv2d-97          [-1, 128, 15, 15]               0
           Conv2d-98          [-1, 128, 15, 15]         114,688
      BatchNorm2d-99          [-1, 128, 15, 15]             256
